File_Name,Stage
12851a15-8e290117,train
12a3bfc4-6c271e39,train
12a6dd7e-875cfca9,train
1338c75c-91e30001,train
135531d4-5f271092,train
135a9651-1de05ea3,train
13620abf-62b6685f,train
137e6989-1fece512,train
13c41b8e-c588d2f9,train
143da8e5-e5ed5d11,train
149f172f-00000000,train
14a197e0-8a00fc55,train
14d95ab2-31b51d3b,train
14df900d-b8d570e1,train
150a973a-6772fd20,train
15430558-02a7d763,train
156b8888-21100001,train
15f89ba0-2a7e079a,train
167a78e3-f955e644,train
167cd9ad-0ee4b7e4,train
167f11ee-af68bd2a,test
168c50b8-edda00c8,train
16ca9fed-7d8bb86b,train
16d131ad-238fb594,train
16e186ec-00000000,train
177d68d5-00000000,train
1834fe14-3afdfad3,train
1837cdb2-b6556bf6,train
186b8229-93f247b4,train
18b160ca-e71bbeeb,train
197c8ab8-da380000,train
198d8f5e-dd29fbb8,train
19a19d47-ff750000,train
19cd9c06-f7cb2ecd,train
19f52469-c5f6f15e,train
1a0871fc-00000000,train
1a456a14-03a6a18f,train
1a48363d-6aab61b3,train
1a8d2b8e-a58e85fe,train
1a92b5b9-87a40001,train
1aa453f6-00000000,train
1ade61c7-b865e37e,train
1af21ce1-e157b867,train
1b162169-b05c9ad0,train
1b2238e4-e12d7bc3,train
1b22fdfb-2ae5be99,train
1b296d94-e8224154,train
1bc82b26-7f99de31,train
1bced9b1-74c3118d,train
1be335cc-307401f7,train
1be4f0fb-18e6ba6f,train
1c2a60fd-87d1bf52,train
1c4c5b21-8d33e502,train
1cbc652a-535d7ba3,train
1d1a1586-987eb0be,train
1d203ad8-54bff0e2,train
1d5a9b6f-5cea06df,train
1da45647-4d28c352,train
1dab55ac-b91f93fe,train
1dcbf95d-cfac3bac,train
1de6d5ff-8aba6383,train
1e08f2e0-2c455a46,train
1e15cae7-5d932386,train
1e18dcf8-2d1be025,train
1e45de2a-609a28e9,train
1e813bee-53f6791a,train
1ee2d0f9-c1f48031,train
1ef2953a-6ad2e690,train
1effe3ed-ee852960,train
1f1cd045-7e338d4a,train
1f30367d-35271bd5,train
1f388f31-24ad5eb6,train
1f3c30a4-210fcb64,valid
1f44d8f2-53f339a2,train
1f59671a-13d88a21,train
1f6c987d-ce5fd740,train
1f7d6452-22ae9b98,test
1fbf13dd-e90a8282,train
1fd981ce-7b6d63d6,train
1fe954fc-4516b71d,train
1ff92f74-697a077e,train
203fb7bc-cbb4be86,train
208be040-b7ad1b43,valid
20b675b9-aeb033a5,train
20d3d92d-cb6dd6fc,train
20f404f4-c99cffca,train
2105b3de-6b3f66e8,train
21154886-00000000,test
21175814-00000000,train
211870cb-752b1b8c,train
21a8be4c-00000000,train
21fcab2c-aa840001,train
2224c461-351255b4,valid
226b2b77-8692b3bd,train
22d63fa2-340e4023,train
22f27dc2-4525d946,train
23a9b1a2-9dc5415e,test
23ae9ed0-8b5e7a2b,train
23baaec2-a78f598c,train
2400952e-00000000,train
244a8b0c-70494f6d,train
245440db-00000000,train
248a4806-8abbf072,test
24a6a304-095969f9,valid
24bff1fe-f7df9665,train
24f4917f-93b8700a,train
2504d789-00000000,train
25157077-ff9a5034,train
25531db8-076c0000,train
25531db8-d8a10000,train
25606b41-ef1b0000,train
26b69e17-00000000,train
2742e632-dd7bbd6e,train
2778f1eb-00000000,train
278f2bc1-a0562ec1,train
27d6808c-00000000,test
27eb3fa9-213f57c8,valid
2814ffe0-83e2134c,train
2824cb5e-ab36aebb,train
28d07634-04bb05db,train
28f73d40-e4720001,train
2907f0ab-0d3abe3a,train
29610d9a-ba94b154,train
29bb7721-00000000,train
29c10b51-cc4452f8,test
2a0869ed-00000000,valid
2a1343ce-d96023f5,train
2a20ea64-d1c32038,train
2a2f41b8-d54e8094,train
2a36dfe4-cb5bcd44,train
2a462b9a-8e0e63c0,train
2aa7c61a-a94413a8,train
2aca94cf-00000000,train
2ad035f4-cd94d608,train
2ae5baeb-6c3992ac,train
2b71e164-38b71151,test
2b87633b-271c4f4d,valid
2bd188b4-00000000,train
2bdd0ff8-b3dad8c2,train
2bf177ce-b7d8d5ff,train
2bf43ae4-abec45f5,train
2c326e59-5d6f09ae,train
2cb96c21-099ab1cc,train
2cc27873-1866aa6a,train
2d3734da-e7e6f31c,test
2d783b3a-a6304dbd,valid
2d89f625-5e44c56a,train
2db961a3-dbc02aeb,train
2dc4e4d2-1e5ba0e0,train
2dc4e4d2-1e5bde2f,train
2dc4e4d2-986ca586,train
2df265da-e4a8fdf3,train
2eb0f2a5-a5690000,train
2ed6d968-9d7dd8bc,train
2ee2d1f6-93cbcc6c,train
2efb8f80-90cd14a6,train
2f09a530-95666b72,train
2f09a530-d84003e1,train
2f17cfc3-d881a89f,train
2f2e4c91-bb3746ce,test
2f31ec89-7c6d9cb0,valid
2f689ee6-ba2b7cb9,train
2fa3d5f3-60a764a1,train
2fc0fae0-7a7afb63,train
308586e7-00000000,train
3091bb19-29f100db,train
30cd8670-7d050000,train
31690fd0-7253da18,train
31a9e4c6-0c51364b,train
31f42605-d26c5d76,train
3247b287-7f98021a,test
325a8deb-6063787c,train
325bf3b3-d7d0e527,valid
3279d0f9-57f795b0,train
32876d94-f65066d5,train
3287d65c-0e5f32ea,train
33036b70-c776fc0c,train
335efe0a-b37f8558,train
33f572c4-bc2b2915,train
340257de-11697871,train
3426cfd1-fcde1379,test
346be4c0-c6743dbd,train
34d80f57-bd3b9ea7,valid
350334d0-07862427,train
351bec53-3749220c,train
35bb33ae-cd45d023,train
36a97b4c-ca10b532,train
371e9fbc-95869d5a,train
3723f465-42573605,train
373e20c8-82cb9d82,test
3777317a-f7fd7fcd,train
377f88d4-00000000,valid
37804537-719c365c,train
378fe86a-79d2f4f6,train
382e37b6-139b8d9f,train
3873c3c0-00000000,train
387a9c67-0577d2fa,train
38b272c8-21eb67f8,train
38b474cc-3efec58a,train
38b5478c-6485313b,test
38dce4c8-91ed80a9,train
38e561dd-8ea8ae2d,valid
39315f2c-bf227c3d,train
395a43ff-a949613d,train
3994c4df-00000000,train
3998ebd0-7fd575dd,train
39b9d097-0bea7eed,train
39c1eaf1-f492b39a,train
3a1a8bc4-6e56c50f,train
3a25bbac-014b3d26,test
3a2895be-61e80000,valid
3a489463-a438c48f,train
3a7896fe-690e31f5,train
3a875150-0882e9d2,train
3b16dab0-d6c80014,train
3b76e313-a4f861d4,train
3b8026eb-9869d18d,train
3b87b80e-d856ff82,train
3b96773a-6df58a15,train
3be6d0b5-39c4d032,test
3bf1eb37-0c63951f,valid
3bf7477e-04424d9c,train
3c0f8d74-f26562b4,train
3c40f1f8-38a8527a,train
3c475923-ebbfe62c,train
3c716b87-6581720c,train
3c87d4cb-b6d2ec9c,train
3cda73b9-234b2cf4,train
3cdd3c22-a10d568c,train
3d0d454e-f0132c99,test
3d31d9a7-2fa8d37a,valid
3d3a3638-268c8d7f,train
3d411c3d-1324dab3,train
3d62a6ae-557b2813,train
3d8b51c1-eec78d9f,train
3daa42c5-a33a968d,train
3dc6bdb4-daf234e9,train
3dd30c54-62570001,train
3e074d91-6e36466a,train
3e11ec55-00000000,test
3e2f4280-5cf8a323,valid
3ea83365-8a41b716,train
3ec111a7-d2964971,train
3ece6409-7245f7ab,train
3eec0a14-ab3e67db,train
3f10a19f-abda536f,train
3f291ac3-53bdc4d2,train
3f7e121a-53b6beb4,train
3f8382ef-6f86f2fa,train
3f8b781f-60c8b19b,test
3f9f7fc0-f2160541,valid
3fb02950-68ad8961,train
3fba086e-ea01758b,train
3fc4ffaf-d50f9cb1,train
3fca66e8-aa9e0000,train
3ffb33b8-98640001,train
4025360f-4416d623,train
40328742-3fd92108,train
409b367f-e28dbcd1,train
40cc2058-768f2e21,test
417aa56b-00000000,valid
4189d1d5-510eb29f,train
41bcc795-62017732,train
41be2b90-2dd8025a,train
41c54d9e-f3710000,train
41dcd39d-00000000,train
42003990-e4ec2e7c,train
42041574-fb905492,train
4204566d-ab80c3d0,train
4242af85-25f7059e,test
42f17eef-9158dc4d,valid
42f588c3-00000000,train
435b07c6-eb7106a5,train
43655cb5-4969d939,train
43d4a202-ca890610,train
43e04451-9ab4c11c,train
44054e56-80ad2e95,train
440f0753-a07e0df1,train
4411f74d-00000000,train
4454c9b2-4ae1048d,test
44a28388-1f7e2018,valid
451d541a-68edeb3e,train
454ae37b-6b1c381c,train
459aeab8-338620ea,train
45cd6d97-00000000,train
46630cfc-00000000,train
46dd9b4b-40645433,train
47240165-0a164810,train
47406c52-494431dd,train
47406c52-6f9c5dbf,train
475f2744-076ed0b2,train
47924e4b-6bef7091,test
47b4c52c-48e9a494,train
47e0d7e0-2766582e,valid
483fa316-00000000,train
4873d330-d3992300,train
4899c3bf-00000000,train
489a53ad-e275e01c,train
490ba810-f9e9d331,train
4924ba96-fa0f0000,train
4928987b-48b87f62,train
49469fcc-31ac03cc,test
49856c5a-18e64700,valid
49a0a1bd-578258bf,train
4a222c06-dae31ab9,train
4a344158-d4d37507,train
4a396379-37154446,train
4a592fc2-1f10618d,train
4a8b2a88-cdff47db,train
4ac80c15-d1dcc514,train
4ace777f-91b40001,train
4adb062d-5dd90001,test
4ae9bac7-540f7f8f,valid
4b2e51e2-2d71bbf2,train
4b4cb9b0-3efa6143,train
4b70363a-e3e11e5b,train
4b9bdc73-821e5299,train
4bdbbb47-da090000,train
4bf68024-b6ec6b6c,train
4c1681b2-2D75E377,train
4c45e4fb-4242918e,train
4c4a5feb-00000000,test
4c7d75ce-387b0001,valid
4c89d609-1b11297a,train
4cd5c4d3-935c6463,train
4cd91231-65fa72bd,train
4cfa5eb5-36df47d8,train
4d2136da-331b0236,train
4d31466d-21002ea9,train
4d4efedf-07f70000,train
4d4efedf-07f70001,train
4d7b4b90-9bd3f150,train
4d91bc98-d5e484fe,train
4d9e6fb4-1f3d419f,test
4ddaf49d-46e97f82,valid
4e1f88e3-c9cea90d,train
4e30bb3e-5faa8477,train
4e79e7cc-5d215a40,train
4ea2d1e9-26453f24,train
4eaef387-c490be1a,train
4f2c67cc-2117b7d0,train
4f45d5ce-d87a28f1,train
4f600291-f4fac35e,train
4f6f7aca-92480000,test
4f855a42-db4c2078,valid
4fa25b34-d7db0e82,train
4fd66294-d3b65cb5,train
4ffc2e24-a5d25ce4,train
504942e4-e8ae0001,train
505bed9f-00000000,train
50c7e6a3-728823db,train
51755f30-21079bb7,train
51974499-29aef9f5,train
520180a2-9a74b4a5,test
5222d6a6-4b40104c,train
5231447b-51012221,valid
52407592-00000000,train
525f8dcd-5b77b64e,train
5269cc0a-00000000,train
52ba66d6-4aafde44,train
53373c51-01710aff,train
533e3610-60f31a92,train
539b6629-94c5e19f,train
539f9677-882ab7f3,test
53af996f-00000000,valid
53b439bf-53586b26,train
53cd4beb-932365ed,train
54032983-5be58724,train
541fe01f-693b3c14,train
54ea83be-5b4989a6,train
55083248-ef9cdda1,train
552e99d7-00000000,train
55856ef6-58df3fa3,train
5632f71f-bec0ab06,test
563bd61d-2f3c4451,valid
56b1916c-d92a77c7,train
56d9d586-af9eaddb,train
56fc2581-88790b23,train
5715cd38-af2ede7c,train
5802d794-a4725fec,train
58538d31-4a9aca8a,train
587e93da-9d2eef22,train
58941c49-9d110459,train
58a6d4a6-a959f89a,test
590218a8-a103c61c,valid
598b9219-20698d42,train
59a98382-fe44fe6a,train
59e0b7c7-25a7f6cb,train
5a0eac86-30db548c,train
5a242858-3656ba5d,train
5a5da40d-20b00000,train
5a93ba50-4ac7faf3,train
5ad54592-aebe0001,train
5af8ba04-e0e43238,test
5b37ba9e-511c073e,valid
5b388f8a-f47f42db,train
5b3d84de-df895ab9,train
5b4d4333-d74a0d2a,train
5b79e291-ab031997,train
5b79e291-ab031dbf,train
5b9fe74e-3a853597,train
5ba1a98c-492f0c7d,train
5bd89ff8-3cd95e28,train
5bf38500-01c9d7de,train
5c404e9a-f3df0245,train
5ce2bd49-980d24d9,train
5ceeac16-1083b98c,train
5d03a12f-84294c67,test
5d1a905f-737ea325,valid
5d2d790d-3d1b8b5d,train
5d379513-3363abb3,train
5d73f301-4243a516,train
5d77c3fc-7c0324f8,train
5daa9274-a4a24449,train
5dba54e9-bcc9813b,train
5dc0ab8c-91160001,valid
5dfb063f-6b81fb1f,train
5dff6680-b807fdad,train
5e0465d5-a6241a8f,train
5e1f98f2-92af4791,test
5e4593c9-d93ab965,train
5e4b3dc5-26d3ec6a,train
5ea587a2-f336c14f,train
5f08b452-00000000,train
5f29aa22-99fc0001,train
5f6197ca-549a0000,train
5f6197ca-549a0001,train
5f6e1cb5-c612b719,train
5ffe9db5-fd4e0001,test
602d4a8e-f0520579,valid
603275a8-037552f6,train
605434f1-7a3353ea,train
60e9c379-00000000,train
60ff4adb-a2fd4b6c,train
6122250c-c6f2a842,train
61946360-00188770,train
61a11b41-7bd17b85,train
61c09a25-e845961c,test
6214e6aa-00000000,valid
62232ce0-7a4d363b,train
6268fd0c-4c007855,train
62eee498-5cc565cc,train
62f8a87a-b4fa9969,train
62fc466a-0e78cbf8,train
633c898b-00000000,train
636e1090-9cf60001,train
636f0d79-bb3c17cc,train
63b0747b-00000000,train
63c256ed-a0fa352f,test
63e66925-eb2824dc,valid
6405b0ba-00000000,train
6462a29c-a1f856d9,train
652f7310-5dbedb62,train
65309093-56d5bcb2,train
655ff376-00000000,train
65939f30-fc872d46,train
65cf107a-65604012,train
661cdd5a-4daeaf7f,test
6630586c-00000000,valid
6684274d-ac7389a9,train
66e5c54d-00000000,train
67a9f729-e9eb734e,train
67c3676f-0aa098df,train
67ed7da0-b623e02f,train
67fbf1e7-15d0d463,train
6823b579-22b1a108,train
6848adce-1a36c1d5,train
686253a6-00000000,test
686f85a0-6eb9dad0,valid
686f9670-74bf8ddd,train
6886b3d9-6ab2b28d,train
68972e88-00000000,train
68be5b8f-21c2824b,train
68e7781a-cffc2268,train
69350d61-851716fa,train
69461627-6a6c68f5,train
69d0cfa5-00000000,train
69e207eb-98665d90,test
6a00c92c-09d0090e,valid
6a03fe29-595633b7,train
6a06ce90-c2a41753,train
6a2d7759-45d710c2,train
6a6e903e-71e70666,train
6ac3120d-df300e6d,train
6b15392a-3a16dd34,train
6b293d3e-59d5f868,train
6b5fa33f-bfdee2cc,train
6b73ccdd-00000000,test
6b9077b7-e6a07c88,train
6b9407bc-a66ea46d,valid
6ba1916a-d52532b4,train
6ba6358d-09d7c146,train
6bbcd8f1-0b0b7ddb,train
6bbebf9e-1ee89b43,train
6c771cb8-b6f2eb2c,train
6c825730-dd4587ae,train
6c9d5cfb-aa700f16,train
6cc6d77b-05f557ac,train
6cc6d77b-ec2b695b,train
6cd634c0-87b38ade,train
6ce5d138-b7abb218,test
6ce99224-3f18fa82,train
6ce99224-b7809337,train
6cf7a093-0748b3cc,valid
6d42bf70-34acb0fa,train
6d7da33d-dfbad26a,train
6d805841-54db0849,train
6d8a6d94-00a7ad92,train
6daa7d06-dc762614,train
6dcbd3f4-3a4d0439,train
6dd101c6-5ff211b6,train
6ddf87cb-79f4eafa,train
6e09762a-bab508de,test
6e9110c1-9973f5ab,valid
6ea4cd53-edee13a9,train
6ec802d7-6f673b8a,train
6ee57024-3c9e350d,train
6f52e256-15d7ade2,train
6f7e0d86-4bb6ec3b,train
6f9a7093-f07b45db,train
6fbbfb15-00000000,train
700fca50-00000000,test
703d912f-840e5963,valid
7068d4f1-5d6413ba,train
70948658-00000000,train
70d7553c-7da414da,train
7133ddf7-98cbc6fa,train
718b0cb8-00000000,train
71ec3de7-051766a5,train
7234b48f-00000000,train
72d1a01b-00000000,train
7300f8fb-84ec13e9,train
734cfd60-f6a9079f,test
73bc6319-00000000,valid
73bd6aac-de295c59,train
744d7642-b9487711,train
7461b407-00000000,train
746ad443-89eb8a7a,train
74c17dc8-ac6e903e,train
75b224f0-12639125,train
75b3cdd3-693bf40c,train
76156f46-00000000,train
76457fe8-97168b39,test
76663911-826adbde,train
7683cc31-27bf0001,train
76af2305-2b561973,valid
76df02f8-a1a9a666,train
771df318-b96bba14,train
771df318-b9bfb8d4,train
772ac765-5f47e414,train
77f3e6e0-9a8afb0a,train
780039e8-9d366067,train
787a247c-00000000,train
79062d5b-4935cc23,train
79fb506e-473f5a00,test
7a0ba545-3961a92c,valid
7a1ed1b0-ff92d878,train
7ad2aa84-5a05b9be,train
7b07669a-91b32318,train
7b0f2cec-00000000,train
7b3ee12a-26590001,train
7b47f738-08d66ead,train
7b4fd7ec-9b3ccf2a,train
7b6ec06a-00000000,train
7b704279-e47540a5,test
7bb15163-4e7897b1,train
7c0a7d5a-da928c23,train
7c2747e6-2a97b7a9,valid
7c5b3302-0d196977,train
7c7ddf9c-1179a7ac,train
7d2f7975-e0c1c5a7,train
7d659512-4c88c7c0,train
7e5ef657-a9ad0001,train
7e788ad5-00000000,train
7efc19f4-18c1ca3f,test
7f121a33-526f912b,valid
7f15d319-36d724e0,train
7f1d11ea-fdf50001,train
7f92cc43-edf59deb,train
7fc69e06-c26e122e,train
7ff455ce-00000000,train
7ffaf795-9835a113,train
800defc7-75e97ada,train
8016a78e-1d969047,train
80c62ee8-d23ec5b6,train
80c62ee8-d23ef245,train
80ce2f36-021be921,test
80d076fe-4bba34cb,train
80d30cb7-c84ab346,train
810f57d0-00000000,valid
81ae7cbb-6bc63a4a,train
81b47af4-08b8441f,train
81cd9c75-00000000,train
81d5165d-fcfc6c67,train
82ef176d-00000000,train
8359526c-6bbdd362,test
835df354-00000000,valid
83d5fe2c-fda22070,train
843af705-00000000,train
84af3c94-a97338a7,train
84cad8e7-6a28398d,train
84cb906a-99c6101d,train
84d7e0cf-95b24c51,train
851ec515-15faca1d,train
86340950-d91b4146,train
865e74e4-360a5187,valid
86a21e97-86ad81a6,test
86c13f5c-cf72aced,train
86f5e178-11db36c2,train
87645210-00000000,train
88223584-00000000,train
88b0a96a-00000000,train
88f99be1-00000000,train
8904a163-a3da592f,train
896425f5-36a83b80,train
896a625b-1177730f,valid
898ac5b9-00000000,train
899745e7-ea01bb52,train
89b7d9b5-74731299,train
89ca3634-00000000,test
8a4bba4e-f8f0a6fc,train
8a56deb7-6cf433c2,train
8a66084a-5158b84e,train
8aaf2653-1be002d3,train
8ac605d8-98fb991c,train
8acb92d1-e08e0ab4,train
8accdada-6b91f21f,valid
8b4c6631-b27e8388,train
8b5e9cbe-9acc0000,train
8ba9d3b5-93b37665,train
8c20378f-62c1b32e,test
8c3e2d5c-79597265,train
8c5924d4-e14b149b,train
8c78e8f9-2c773310,train
8c976e04-47482559,train
8ccbdb22-00000000,train
8cd80e5c-7a09434f,valid
8d089f51-578033f2,train
8d62137d-00000000,test
8d86fb25-a72cfabe,train
8d9a9d66-1c5d5f51,train
8da3b2a5-ea690000,train
8ddd3f5a-819347bd,train
8e0e5cac-ecc08e98,train
8e4767d2-135fdae6,train
8e720571-f5132884,test
8e74dd69-c75b794b,valid
8edff4ef-242b0fa0,train
8f4c1b2d-89450000,train
8f675f89-91c97273,train
8f71e64e-6c9b9af0,train
90016677-9ebbc73b,train
90016677-aab19abe,train
9047ff09-d3476966,train
904f9a94-00000000,train
905625db-00000000,train
906eec9d-3a4db6c5,train
90752702-3bc4fb88,test
90c02206-cc271603,train
90c4d040-61fa675b,valid
912e44a6-dc2d2079,train
9162b45e-00000000,train
917b9dd0-73b84c3a,train
91faccca-00000000,train
920744c3-00000000,train
92344fba-2059eebb,train
9280af89-ebc4a7e8,train
932ab3d2-0ef6d829,train
939840d6-a7c62d84,test
941f3bb8-1184941a,valid
945a38ed-00000000,train
94d4caa2-0b880cd8,train
957e6dd4-a28f4453,train
957e6dd4-c0f100cd,train
95a6f8ce-f70d000a,train
95b06214-408611f2,train
95fe3338-fe9ff521,train
96180b81-00000000,train
96267bf4-0b68d6ae,train
96be86fa-0686ec8e,test
971cbf48-00000000,valid
972ab49a-6a6eeaf5,train
977b8906-7e0dbdbd,train
97880acc-e6bec03d,train
97ad5182-1fee7596,train
97b3a5ef-b98177e5,train
980b68e4-851fe839,train
982f86ee-c452edf3,train
985ba4dc-1bc59838,train
9861744f-00000000,test
98e34ad2-cabad29a,valid
99ab7304-32307eea,train
99c1b2ae-50df0921,train
99e65b79-72f54fd5,train
99ef4b3b-bb915689,train
9a2a2583-659b5e9e,train
9a35e283-7c9c7404,train
9a58e8e4-4b400dc1,train
9a60b3e7-789f9b00,train
9a888ffa-43ca0000,train
9a888ffa-43ca0001,train
9a888ffa-7b310001,train
9a888ffa-96020000,train
9a888ffa-c3840001,train
9aeeef4a-14e90f30,train
9b0bf112-5edbe682,test
9b0e122c-3ead3b61,valid
9b2db8cb-00000000,train
9b4bbc7a-bef89124,train
9b656e8f-c53b0000,train
9bb14814-498d5452,train
9bd35228-adfe7af8,train
9be7f8b9-24850169,train
9c1ea83b-465f4173,train
9c219b32-a876239b,test
9c38185c-fc417ba0,valid
9c678386-81c3086d,train
9c7940d0-70d74ab0,train
9d02c9cf-a022fe44,train
9d3e6f33-49b7f110,train
9d460d7c-fe55dc99,train
9d5576ab-535082b7,train
9d565f1f-fc3cd908,train
9dccd5bd-67d455b3,train
9dec6d97-ab2c968e,test
9df3d257-91d3ddd5,valid
9e1a9cde-5d3bba54,train
9e4f94cd-e3c04dac,train
9e80bd96-d0051ade,train
9e8f6fa8-82815cbb,train
9e9fc898-6a49eec9,train
9ece8bd6-3cede2ad,train
9edddf0d-3146414e,train
9f160587-fd77bcf9,train
9f238cfa-cc9bb02e,test
9f442f32-5f3dc72b,valid
9f68196b-cd31c070,train
9fb944ec-00000000,train
a06a4b0e-c5241837,train
a0c42a1d-16e85492,train
a0d4fa71-00000000,train
a0ea324c-3e4251c3,train
a10957b3-f6fc1c47,train
a188e945-124b917e,train
a1acfdb8-68db64af,test
a1ce7d45-2f62d29f,train
a217361a-cdf174d7,valid
a269d8cd-af4fc1d1,train
a2c6d74b-00000000,train
a3829789-00000000,train
a3a0f34f-68d8ac1c,train
a3b51b78-d5e379c3,train
a4215cd6-00000000,train
a48909f7-54e4bcff,train
a4d467e1-e2697245,test
a523290c-00000000,train
a5242a75-c9f4c680,valid
a58f81f2-78ae959f,train
a59131a5-00000000,train
a5dd241e-e61c0e76,train
a613a4c4-b2893916,train
a61a4cfb-429644fb,train
a62b515a-b08cfa10,train
a62e5bac-5abf4504,train
a6455af8-f0a1f75b,test
a6cbdb8c-3b325c1d,train
a7542d36-590272a5,valid
a7683fb4-8808de3f,train
a797a199-03e87b71,train
a7cc17d8-00000000,train
a7f9d60b-7ae3f042,train
a822c459-20b67e7f,train
a8b26e1c-7c8ee1d0,train
a91b7555-00000100,valid
a91b7555-00000140,valid
a91b7555-00000175,valid
a91b7555-00000280,valid
a91b7555-00000295,valid
a91b7555-00000305,valid
a91b7555-00000415,valid
a91b7555-00000425,valid
a91b7555-00000445,valid
a91b7555-00000500,valid
a91b7555-00000520,valid
a91b7555-00000835,valid
a91b7555-00000870,valid
a91b7555-00000880,valid
a91b7555-00000920,valid
a91b7555-00001085,valid
a91b7555-00001090,valid
a91b7555-00001095,valid
a91b7555-00001115,valid
a91b7555-00001125,valid
a91b7555-00001150,valid
a91b7555-00001165,valid
a91b7555-00001175,valid
a91b7555-00001205,valid
a91b7555-00001235,valid
a91b7555-00001280,valid
a9391f8f-83c00a81,train
a96d20b4-9cf31240,test
a97c1475-00000000,valid
a9f45e63-5c17863d,train
aaddc191-6f4e53c1,train
ab6a3dc3-9ccf65d2,train
ac6e3fd3-b9d52612,train
ad09a5b3-81e6d6d7,train
ad0b7d33-16243e40,train
ad29b99d-848897ac,train
ad2bc657-0ab7e6e6,train
ad62ff26-ef0c923e,test
ad9f6825-1370b1d3,valid
adfc8f5c-b1f02e04,train
af59aee0-759730e7,train
af7e1bb8-a944b6c6,train
b059de74-b31e43ae,train
b18cb922-e3af77af,train
b19b87e3-f576fec3,train
b2e96aa8-3624f23d,train
b2f48fc3-f0ddacf0,train
b3121071-581b2755,test
b3329255-4a5988f8,valid
b3f2fee7-1482dee6,train
b555790d-ef09fa96,train
b5b40b5f-da80498b,train
b5fd8bf6-fa9be3ca,train
b6b047b4-3fccc761,train
b761cf92-0ec720b9,train
